NL Statement,Logic Expression
"If there is no bus master, the standby computer shall become the bus master within 2-time units.","Triggered_Timed_Action(not(Bus master),(Standby computer becomes bus master),2-time units)"
"If bus master fails, the standby computer shall become the bus master within 2-time units.","Triggered_Timed_Action(not(Bus master),(Standby computer becomes bus master),2-time units)"
"During takeoff, the Flight Computer shall release wheel brakes only if the health checks are successful.",(During takeoff--> (Flight Computer released wheel brakes --> health checks are successful))
"At any time, the Flight Computer shall consider the failure of INS, Air data system, actuation system, power system, communication system, or engine as a critical failure.",Critical Failure = Failure of INS or Failure of Air data sensor or Failure of Actuator or Failure of Power System or Failure of communication system or Failure of engine
"During takeoff, if a critical failure is detected, the Flight Computer shall abort the takeoff shall only if the current speed is less than V1.",(During takeoff and Critical failure detected)-->(takeoff aborted --> current speed < V1)
"During takeoff, if a critical failure is detected, the Flight Computer shall abort the takeoff  if and only if the current speed is less than V1.",(During takeoff and Critical failure detected)-->(takeoff aborted --> current speed < V1)
Payload devices shall be turned off if the bus voltage is less than 26 volts continuously for 100-time units.,(bus voltage < 26 volts persists for 100 time units) --> Payload devices turned off
"During takeoff, landing gear shall be retracted only if the altitude is more than 100 meters.",During takeoff --> (landing gear retracted --> Altitude > 100 meters)
Failure of the sensor in INS shall be considered a permanent failure of the INS,Failure of the sensor --> (from the next instance) Failure of the INS (even if sensor failure recovers)
"When the Computer boots up, the Computer shall read the Channel ID from HW",Computer boots up --> (from the next instance) Read channel ID from HW
"When the Computer boots up, if the other Computer has not already assumed the role of Active computer, the Computer shall assume the role of Active Computer.",(Computer boots up and (other computer has not already assumed the role of Active Computer)) --> (from the next instance) The computer assumes the role of Active Computer
The Active Computer shall configure itself as the Bus Master,Active Computer --> this computer is bus master
"During takeoff, if auto takeoff is selected, if the cross-track error from the runway center line exceeds 10 meters continuously for 300 samples, the Flight Computer shall abort the takeoff only if the current speed is less than V1.",(During takeoff and auto takeoff selected and (cross-track error from runway center line > 10 meters persists for 300 samples))-->(takeoff aborted --> current speed < V1)
"During takeoff, the AIA (Aircraft In Air) is set to be true if at least 2 out of the 3 WOW (Weight On Wheel) Switches read false persistently for 10 samples.",During takeoff --> ((at least 2 out of the 3 WOW Switches read false persists for 10 samples) --> AIA set to true)
"During takeoff, the Flight Computer shall set the AIA (Aircraft In Air) to true if at least 2 out of the 3 WOW (Weight On Wheel) Switches read false persistently for 10 samples.",During takeoff --> ((at least 2 out of the 3 WOW Switches read false persists for 10 samples) --> AIA set to true)
"Once AIA is set to true, it shall remain latched until Aircraft enters landing phase.",AIA is set to true --> (from the next instance)(AIA is set to true until Aircraft enters landing phase)
"During takeoff, if AIA is set to true, the nose wheel deflection is commanded to zero degree  through a fader of 50 samples.",(During takeoff and AIA set to true) --> (Nose wheel deflection commanded to zero degree faded in 50 samples)
"During takeoff, if AIA is set to true, the Flight Computer shall command the nose wheel deflection to zero degree through a fader of 50 samples.",(During takeoff and AIA set to true) --> (Nose wheel deflection commanded to zero degree faded in 50 samples)
"During takeoff, the Flight Computer shall retract the landing gear only if the altitude is more than 100 meters.",During takeoff --> (landing gear retracted --> Altitude > 100 meters)
"During takeoff, after AIA is set to true, the Aircraft heading reference shall remain unchanged until the Aircraft altitude is greater than 300 meters.",(During takeoff and AIA set to true) --> (Heading reference remains unchanged until Aircraft altitude > 300 meters)
"During takeoff, after AIA is set to true, the Flight Computer shall keep the heading reference unchanged until the Aircraft altitude is greater than 300 meters.",(During takeoff and AIA set to true) --> (Heading reference remains unchanged until Aircraft altitude > 300 meters)
"During cruise phase, the reference speed shall always be greater than the stall speed.",During cruise phase --> (always) reference speed > stall speed
"During cruise phase, the Flight Computer shall ensure that reference speed is always greater than the stall speed.",During cruise phase --> (always) reference speed > stall speed
"During cruise phase, the reference altitude shall always be higher than 1000 meters.",During cruise phase --> (always) reference altitude > 1000 meters
"During cruise phase, the Flight Computer shall ensure that reference altitude is always higher than 1000 meters.",During cruise phase --> (always) reference altitude > 1000 meters
"During cruise phase, the engine throttle shall always be higher than 10%.",During cruise phase --> (always) Engine throttle > 10%
"During cruise phase, the Flight Computer shall ensure that the engine throttle shall always be higher than 10%.",During cruise phase --> (always) Engine throttle > 10%
"At any time, if the Aircraft is climibing, the engine throttle shall be at 100%.",Aircraft is climbing --> (always) Engine throttle = 100%
"If the Aircraft is climbing, the Flight Computer shall set the engine throttle at 100%.",Aircraft is climbing --> (always) Engine throttle = 100%
"If INS reports a sensor failure, the Flight Computer shall consider it as permanent failure of the INS.",Failure of the sensor --> (from the next instance) Failure of the INS (even if sensor failure recovers)
"At all times, the absolute commanded rate of change to control surface position shall not exceed 10 degree per second.",absolute(commanded rate of change to a control surface position) <= 10 degrees per second
A warning shall be issued if any control surface command is set at the saturation limit continuosly for more than 300 samples.,(a control surface is commanded to its saturation limit persists for 300 samples) --> Warning issued
"For control surfaces, actuator failure shall be set if the position demand and position feedback differ by more than 2 degrees continuously for 100 samples.",(control surface position demand and feedback difference > 2 degrees persists for 100 samples) --> actuator failure declared
"For actuators, communication failure shall be set if actuator controller does not respond to commands for 10 consecutive samples.",(actuator controller does not respond to commands persists for 10 samples) --> communication failure set for the actuator
"If an actuator controller reports position sensor failure or a motor failure, the actuator shall be declared permanenetly failed.",(actuator controller reports motor failure or actuator controller reports position sensor failure) --> (from the next instance) (always) actuator is declared failed
